url,url_length,num_dots,num_hyphens,num_digits,has_ip,has_at_symbol,uses_https,suspicious_words_count,brand_in_subdomain,domain_age_days,external_links_ratio,forms_count,popup_count,ssl_valid,redirect_count,label
https://help.mirea.ru/profile,29,2,0,0,0,0,1,0,0,1446,0.050476385418627645,1,0,0,1,0
https://my.google.com/support?ref=38,36,2,0,2,0,0,1,1,0,1756,0.3274982355026091,0,0,1,0,0
https://tbank.secure-id.ru.com/login,36,3,1,0,0,0,1,2,1,1,0.4671103373369046,0,0,1,1,1
http://user@tbankaccountid.xyz/security-check?session=734053718&u=google,72,1,1,9,0,1,0,1,0,183,0.420145680846006,0,1,1,2,1
http://telegram-support-241174.icu/verify/account,49,1,2,6,0,0,0,3,0,224,0.45096148433233674,0,1,0,2,1
http://23.15.209.150/verify/account,35,3,0,10,1,0,0,2,0,371,0.5296359038083941,2,0,1,4,0
https://id.avito.ru/,20,2,0,0,0,0,1,0,0,1409,0.4217019356022841,2,0,0,2,0
https://id.google.com/catalog,29,2,0,0,0,0,1,0,0,1242,0.3375997425119618,0,0,0,0,0
https://help.mail.ru/news,25,2,0,0,0,0,0,0,0,3694,0.017435131156226524,2,0,1,0,0
http://mail.wallet-pay.click/security-check,43,2,2,0,0,0,0,1,1,1,0.4889452510187117,1,1,0,2,1
https://ozon.ru/,16,1,0,0,0,0,1,0,0,634,0.307081616987263,0,0,1,1,0
http://google.account-secure.site/security-check,48,2,2,0,0,0,0,2,1,30,0.9296698678138586,2,1,1,1,1
http://149.99.248.130/login,27,3,0,11,1,0,0,1,0,410,0.8194134944607857,2,2,1,0,1
http://user@apple.support.auth.shop/apple/signin,48,3,0,0,0,1,1,2,1,780,0.5725432807363808,2,0,1,1,1
http://tbank.payment-424389.click/tbank/signin?session=705949060&u=paypal,73,2,1,15,0,0,0,1,1,178,0.7563622515310597,1,0,1,2,1
http://paypal-wallet-pay.click/bonus,36,1,2,0,0,0,0,2,0,534,0.5120338090972526,2,1,0,0,0
https://tinkoff.ru/,19,1,0,0,0,0,1,0,0,3120,0.1306097474280017,1,0,1,0,0
https://mirea.ru/support?ref=91,31,1,0,2,0,0,1,1,0,3127,0.4759781738086428,1,1,1,2,0
http://avito.prize-573092.icu/payment/confirm?session=331089881&u=mirea,71,2,1,15,0,0,0,3,1,407,0.18139977336320806,2,0,1,3,1
http://199.143.125.42/update,28,3,0,11,1,0,0,1,0,532,0.8636911190492964,0,0,1,3,1
https://help.apple.com/news,27,2,0,0,0,0,1,0,0,2377,0.33746905072578137,0,1,0,0,0
https://help.yandex.ru,22,2,0,0,0,0,1,0,0,3290,0.4693257134813339,1,0,1,0,0
http://apple-account-pay.click/security-check,45,1,3,0,0,0,0,1,0,190,0.5028880691906273,3,0,0,0,1
http://applebonuspay.ru.com/payment/confirm,43,2,0,0,0,0,0,3,1,616,0.49582349253315094,3,0,0,0,1
http://googlepaymentauth.shop/verify/account?session=262997676&u=wildberries,76,1,0,9,0,0,0,4,0,293,0.3590887898087866,3,0,0,0,1
https://my.yandex.ru/education,30,2,0,0,0,0,1,0,0,2407,0.44955321960915956,1,0,1,0,0
https://id.apple.com/education?ref=74,37,2,0,2,0,0,1,0,0,3181,0.14124102543188932,0,0,1,0,0
http://70.51.243.217/security-check?session=229830155&u=tbank,61,3,1,19,1,0,0,0,0,1,0.4801002660672895,3,2,1,2,0
https://my.telegram.org/catalog,31,2,0,0,0,0,1,0,0,1241,0.4906827973594004,2,0,1,0,0
https://help.gosuslugi.ru/profile?ref=95,40,2,0,2,0,0,1,0,0,20,0.537610661630765,0,1,0,0,0
http://mail_update_id.live/bonus?session=944606245&u=ozon,57,1,0,9,0,0,0,2,0,519,0.5305233039283567,2,0,1,4,1
http://sber_gift_880995.xyz/security-check?session=234137646&u=wildberries,74,1,1,15,0,0,0,1,0,465,0.6141305010519508,1,0,1,0,1
https://gosuslugi.wallet-auth.top/verify/account?session=829545037&u=gosuslugi,78,2,1,9,0,0,1,4,1,153,0.5340752395466543,4,0,1,0,1
https://my.yandex.ru/profile?ref=56,35,2,0,2,0,0,1,0,0,2102,0.0508792411188117,1,0,1,0,0
https://help.tinkoff.ru/support,31,2,0,0,0,0,1,1,0,2260,0.22887896734614294,0,0,1,2,0
http://195.86.208.54/payment/confirm,36,3,0,10,1,0,0,2,0,350,0.25685871092042867,2,0,1,1,1
http://steamconfirmpay.icu/bonus?session=247638338&u=tbank,58,1,0,9,0,0,0,2,0,88,0.9322757697028448,3,0,1,1,1
https://www.mail.ru/catalog,27,2,0,0,0,0,1,0,0,637,0.3330344955352834,1,0,0,0,0
https://apple.com/education,27,1,0,0,0,0,1,0,0,514,0.341908559484709,1,0,1,0,0
http://telegram.wallet-auth.top/telegram/signin,47,2,1,0,0,0,0,2,1,322,0.6345987571796128,0,1,0,1,1
https://www.yandex.ru/support,29,2,0,0,0,0,1,1,0,1225,0.23100757350627232,1,0,1,0,0
https://apple.com/support,25,1,0,0,0,0,1,1,0,2092,0.37936291958258744,0,0,1,0,0
https://yandex.ru/support,25,1,0,0,0,0,1,1,0,347,0.39552247398106744,0,1,1,0,0
https://mirea.ru/support,24,1,0,0,0,0,1,1,0,1279,0.04890442589644295,0,0,1,1,0
https://my.yandex.ru/catalog?ref=54,35,2,0,2,0,0,1,0,0,1356,0.3963191198959985,1,0,0,0,0
https://tbank.support-pay.ru.com/payment/confirm?session=201515220&u=steam,74,3,1,9,0,0,1,3,1,35,0.6124777259191748,0,1,1,0,1
https://google.wallet-auth.shop/payment/confirm?session=903552470&u=avito,73,2,1,9,0,0,1,4,1,614,0.4962324078757384,3,3,1,1,1
http://yandex.wallet-906997.shop/bonus,38,2,1,6,0,0,0,2,1,1,0.676941510523009,0,0,0,3,1
http://steam.support-id.click/steam/signin?session=919236931&u=telegram,71,2,1,9,0,0,0,1,1,137,0.8265025484406013,2,0,0,2,1
https://sberbank.ru/education,29,1,0,0,0,0,1,0,0,20,0.4199683780530252,1,1,1,0,0
https://tbank.auth-pay.live/security-check,42,2,2,0,0,0,1,1,1,1,0.5222685483549394,1,2,1,1,1
http://vkprize948308.ru.com/bonus?session=462546417&u=vk,56,2,0,15,0,0,0,2,1,372,0.316620287908987,2,1,0,2,1
https://my.ozon.ru/education,28,2,0,0,0,0,1,0,0,1594,0.3447214040909384,1,0,1,1,0
https://108.161.23.42/bonus,27,3,0,10,1,0,1,1,0,495,0.4296308958470026,5,0,1,0,1
https://help.apple.com/news,27,2,0,0,0,0,1,0,0,507,0.130269904401211,0,0,1,1,0
http://paypal.secure-id.icu/verify/account?session=579284667&u=avito,68,2,1,9,0,0,0,3,1,1,0.12237850751870755,1,1,0,0,1
https://tbank.update-auth.live/bonus?session=423771208&u=sber,61,2,1,9,0,0,1,3,1,437,0.7478490416537501,1,0,1,0,1
https://id.sberbank.ru/education,32,2,0,0,0,0,1,0,0,715,0.44860845272177297,0,0,0,0,0
https://my.vk.com/login,23,2,0,0,0,0,1,1,0,20,0.16878318149748833,2,0,1,0,0
http://81.160.42.156/login,26,3,0,10,1,0,0,1,0,1,0.7273979596765225,2,0,1,0,1
http://user@mail_support_auth.click/update,42,1,0,0,0,1,1,3,0,351,0.5044471881268711,2,1,1,1,1
http://vk.free-secure.top/payment/confirm,41,2,1,0,0,0,0,4,1,209,0.8016760089409838,2,1,0,1,1
https://my.mirea.ru/?ref=61,27,2,0,2,0,0,1,0,0,20,0.34412040433196484,1,0,1,1,0
https://help.google.com/?ref=68,31,2,0,2,0,0,1,0,0,1985,0.3437346856827309,0,0,1,0,0
https://mail.update.437196.icu/bonus?session=163994795&u=google,63,3,0,15,0,0,1,2,1,707,0.7700616985691842,2,1,0,2,1
http://mirea.auth-911260.shop/login,35,2,1,6,0,0,0,2,1,1,0.5132976007259187,1,2,1,3,1
https://id.steamcommunity.com/support,37,2,0,0,0,0,1,1,0,2542,0.34601941637469796,1,0,0,0,0
https://id.yandex.ru/login?ref=37,33,2,0,2,0,0,1,1,0,2206,0.21908713023661247,1,0,0,1,0
https://mirea.ru/login?ref=44,29,1,0,2,0,0,1,1,0,308,0.33749397772838413,0,1,1,0,0
http://user@ozon.wallet-auth.shop/update?session=352418696&u=tbank,66,2,1,9,0,1,0,3,1,350,0.5974344309832493,0,0,1,2,1
https://my.mirea.ru/?ref=12,27,2,0,2,0,0,1,0,0,2617,0.14038398107963443,0,0,1,0,0
https://sberbank.ru/news,24,1,0,0,0,0,1,0,0,1763,0.15259700992159725,1,1,1,1,0
https://id.google.com/catalog,29,2,0,0,0,0,1,0,0,1285,0.0,1,0,1,1,0
https://my.apple.com/catalog?ref=82,35,2,0,2,0,0,1,0,0,3141,0.48632493362532647,0,0,1,0,0
https://my.tinkoff.ru,21,2,0,0,0,0,1,0,0,929,0.4287449720930497,0,0,1,0,0
http://avito_support_pay.site/payment/confirm?session=965530081&u=mail,70,1,0,9,0,0,0,3,0,117,0.5420292433204353,0,1,1,2,1
https://gosuslugi.account-id.ru.com/bonus?session=101574984&u=steam,67,3,1,9,0,0,1,2,1,171,0.9447867102978538,0,0,0,0,1
https://www.gosuslugi.ru/support,32,2,0,0,0,0,1,1,0,2973,0.07899105660980038,0,0,1,1,0
http://googleaccountid.shop/bonus,33,1,0,0,0,0,0,2,0,280,0.7183936595242805,4,1,0,1,1
https://id.vk.com/profile,25,2,0,0,0,0,0,0,0,20,0.4364254054156236,2,0,1,0,0
https://help.telegram.org/news,30,2,0,0,0,0,1,0,0,803,0.6247488971717667,0,0,1,3,0
https://www.vk.com/support,26,2,0,0,0,0,1,1,0,470,0.5150551949869284,1,0,1,2,0
http://user@wildberries.confirm-secure.top/update?session=375464113&u=avito,75,2,1,9,0,1,0,3,1,549,0.6853153557143226,2,4,1,4,1
http://gosuslugi.auth.auth.site/login?session=231657515&u=mail,62,3,0,9,0,0,1,2,1,365,0.8804353543926082,1,0,1,2,1
https://yandex.ru/news,22,1,0,0,0,0,1,0,0,1404,0.17354388766290085,2,0,1,1,0
https://id.steamcommunity.com/login,35,2,0,0,0,0,1,1,0,3246,0.35757530275342586,0,0,0,1,0
https://id.yandex.ru,20,2,0,0,0,0,1,0,0,946,0.45099627275456367,0,0,1,1,0
https://help.mirea.ru/news,26,2,0,0,0,0,1,0,0,1435,0.4380981225921707,0,0,0,1,0
http://105.54.129.40/payment/confirm,36,3,0,10,1,0,0,2,0,1,0.9878785205206815,0,1,1,0,1
